iter	Passed	Remaining
0	166	166181
1	185	92349
2	197	65797
3	211	52745
4	224	44693
5	237	39356
6	250	35572
7	263	32681
8	276	30444
9	288	28559
10	301	27079
11	314	25895
12	327	24848
13	339	23890
14	352	23122
15	364	22427
16	378	21892
17	394	21499
18	408	21074
19	423	20738
20	437	20414
21	452	20100
22	465	19793
23	479	19514
24	494	19269
25	506	18982
26	518	18698
27	531	18453
28	544	18224
29	557	18016
30	569	17807
31	581	17601
32	594	17417
33	607	17254
34	619	17093
35	634	16997
36	649	16901
37	663	16797
38	676	16673
39	689	16544
40	702	16427
41	715	16313
42	727	16199
43	740	16082
44	752	15971
45	764	15854
46	777	15774
47	791	15688
48	803	15596
49	816	15505
50	827	15401
51	839	15310
52	852	15238
53	864	15152
54	880	15124
55	893	15061
56	906	14994
57	919	14929
58	932	14868
59	944	14799
60	956	14723
61	969	14661
62	981	14601
63	993	14531
64	1005	14457
65	1017	14405
66	1030	14346
67	1042	14283
68	1054	14234
69	1067	14185
70	1079	14128
71	1091	14070
72	1103	14012
73	1115	13960
74	1130	13948
75	1146	13934
76	1161	13924
77	1174	13877
78	1186	13829
79	1198	13777
80	1214	13782
81	1234	13825
82	1258	13905
83	1280	13959
84	1294	13935
85	1306	13885
86	1318	13833
87	1330	13788
88	1343	13747
89	1355	13701
90	1367	13656
91	1379	13619
92	1392	13577
93	1404	13537
94	1417	13507
95	1432	13485
96	1445	13456
97	1458	13427
98	1473	13409
99	1488	13392
100	1502	13371
101	1517	13362
102	1530	13332
103	1543	13298
104	1555	13261
105	1567	13220
106	1579	13180
107	1592	13149
108	1603	13110
109	1615	13069
110	1627	13037
111	1640	13003
112	1652	12969
113	1663	12931
114	1676	12901
115	1688	12870
116	1701	12841
117	1714	12813
118	1728	12795
119	1742	12777
120	1756	12761
121	1770	12743
122	1783	12715
123	1795	12684
124	1808	12657
125	1820	12627
126	1833	12602
127	1845	12574
128	1858	12546
129	1870	12520
130	1883	12492
131	1894	12460
132	1907	12437
133	1921	12416
134	1933	12387
135	1944	12352
136	1956	12325
137	1969	12304
138	1982	12282
139	1995	12260
140	2009	12240
141	2022	12219
142	2035	12196
143	2047	12170
144	2059	12141
145	2071	12116
146	2084	12094
147	2096	12067
148	2107	12037
149	2120	12017
150	2133	11997
151	2145	11972
152	2157	11944
153	2169	11917
154	2182	11896
155	2194	11873
156	2208	11858
157	2221	11837
158	2245	11878
159	2260	11867
160	2274	11853
161	2291	11854
162	2311	11871
163	2332	11891
164	2357	11931
165	2369	11906
166	2382	11882
167	2395	11863
168	2409	11847
169	2423	11830
170	2435	11805
171	2448	11786
172	2463	11775
173	2477	11759
174	2490	11741
175	2503	11719
176	2516	11702
177	2529	11682
178	2543	11664
179	2558	11653
180	2573	11645
181	2587	11628
182	2599	11607
183	2613	11591
184	2626	11569
185	2638	11546
186	2650	11522
187	2662	11499
188	2674	11476
189	2687	11456
190	2699	11432
191	2711	11411
192	2724	11392
193	2736	11371
194	2748	11347
195	2762	11330
196	2775	11313
197	2788	11293
198	2800	11273
199	2815	11262
200	2830	11251
201	2844	11238
202	2868	11261
203	2881	11243
204	2893	11220
205	2905	11200
206	2918	11179
207	2930	11157
208	2942	11135
209	2954	11116
210	2967	11095
211	2980	11077
212	2992	11055
213	3004	11036
214	3016	11015
215	3029	10996
216	3041	10975
217	3054	10957
218	3067	10938
219	3080	10921
220	3093	10903
221	3107	10890
222	3120	10871
223	3131	10849
224	3143	10827
225	3156	10808
226	3169	10792
227	3184	10781
228	3198	10768
229	3212	10753
230	3226	10740
231	3240	10725
232	3253	10710
233	3267	10697
234	3281	10683
235	3295	10668
236	3309	10655
237	3324	10643
238	3339	10632
239	3358	10634
240	3377	10637
241	3401	10655
242	3425	10671
243	3444	10673
244	3461	10666
245	3476	10655
246	3491	10644
247	3507	10635
248	3521	10622
249	3535	10605
250	3549	10591
251	3564	10581
252	3579	10569
253	3594	10558
254	3609	10544
255	3625	10537
256	3643	10534
257	3660	10526
258	3675	10514
259	3692	10508
260	3710	10505
261	3725	10494
262	3741	10485
263	3758	10477
264	3771	10459
265	3783	10439
266	3795	10419
267	3808	10403
268	3823	10389
269	3835	10370
270	3847	10350
271	3860	10333
272	3874	10319
273	3888	10302
274	3903	10290
275	3916	10273
276	3928	10255
277	3942	10237
278	3955	10221
279	3968	10203
280	3980	10185
281	3993	10167
282	4006	10150
283	4019	10133
284	4034	10120
285	4046	10103
286	4059	10085
287	4072	10069
288	4084	10049
289	4096	10028
290	4108	10011
291	4122	9996
292	4136	9981
293	4150	9967
294	4175	9979
295	4188	9961
296	4200	9943
297	4213	9925
298	4225	9906
299	4239	9892
300	4251	9874
301	4264	9857
302	4276	9838
303	4289	9821
304	4302	9804
305	4315	9787
306	4328	9770
307	4340	9751
308	4353	9735
309	4367	9720
310	4381	9706
311	4397	9696
312	4412	9685
313	4427	9672
314	4444	9666
315	4467	9669
316	4489	9673
317	4509	9671
318	4529	9670
319	4544	9657
320	4557	9640
321	4570	9623
322	4583	9606
323	4596	9590
324	4609	9574
325	4622	9556
326	4635	9539
327	4648	9523
328	4663	9510
329	4676	9493
330	4688	9475
331	4701	9459
332	4716	9446
333	4729	9430
334	4741	9412
335	4753	9394
336	4766	9377
337	4780	9363
338	4795	9350
339	4809	9335
340	4822	9320
341	4835	9302
